"","tissue","ENSG00000104814"
"1","Brain",3.7344
"2","Brain",1.6316
"3","Brain",1.9611
"4","Brain",3.3518
"5","Brain",1.0805
"6","Brain",4.2173
"7","Brain",3.6098
"8","Brain",3.3442
"9","Brain",3.1905
"10","Brain",2.8723
"11","Brain",2.3526
"12","Brain",3.4307
"13","Brain",2.3582
"14","Brain",1.3704
"15","Brain",3.9054
"16","Brain",1.7863
"17","Brain",1.5368
"18","Brain",1.9422
"19","Brain",2.2239
"20","Brain",11.4565
"21","Brain",4.327
"22","Brain",3.7283
"23","Brain",2.939
"24","Brain",1.4935
"25","Brain",1.5476
"26","Brain",0.7579
"27","Brain",2.4982
"28","Brain",1.8855
"29","Brain",2.1829
"30","Brain",8.1654
"31","Brain",4.7537
"32","Brain",5.9249
"33","Brain",3.7005
"34","Brain",2.7838
"35","Brain",1.7045
"36","Brain",5.1093
"37","Brain",1.6984
"38","Brain",1.3942
"39","Brain",2.0783
"40","Brain",1.6393
"41","Brain",2.0356
"42","Brain",3.7303
"43","Brain",4.3119
"44","Brain",1.0029
"45","Brain",1.9068
"46","Brain",1.4768
"47","Brain",1.5319
"48","Brain",3.5777
"49","Brain",1.9958
"50","Brain",2.3645
"51","Brain",1.3808
"52","Brain",3.2228
"53","Brain",4.1036
"54","Brain",1.1451
"55","Brain",2.0941
"56","Brain",3.8028
"57","Brain",2.0817
"58","Brain",3.9735
"59","Brain",3.6989
"60","Brain",3.6401
"61","Brain",0.9287
"62","Brain",0.6398
"63","Brain",1.8404
"64","Brain",3.7991
"65","Brain",3.8759
"66","Brain",3.4051
"67","Brain",2.5098
"68","Brain",4.0992
"69","Brain",1.2294
"70","Brain",2.4611
"71","Brain",1.9507
"72","Brain",2.634
"73","Brain",2.5787
"74","Brain",2.5047
"75","Brain",4.0794
"76","Brain",4.4285
"77","Brain",1.1124
"78","Brain",1.7677
"79","Brain",6.0082
"80","Brain",2.145
"81","Brain",3.2221
"82","Brain",1.1181
"83","Brain",3.3811
"84","Brain",5.6149
"85","Brain",1.2372
"86","Brain",1.1991
"87","Brain",2.9026
"88","Brain",1.111
"89","Brain",4.6558
"90","Brain",2.3605
"91","Brain",3.0448
"92","Brain",2.5601
"93","Brain",1.2727
"94","Brain",5.9138
"95","Brain",4.7765
"96","Brain",1.8852
"97","Brain",3.9709
"98","Brain",1.4319
"99","Brain",1.7512
"100","Brain",2.8358
"101","Breast",2.588
"102","Breast",17.9896
"103","Breast",17.3714
"104","Breast",1.9799
"105","Breast",2.8176
"106","Breast",3.8383
"107","Breast",1.273
"108","Breast",3.8307
"109","Breast",8.0078
"110","Breast",3.3965
"111","Breast",8.105
"112","Breast",8.7775
"113","Breast",10.0258
"114","Breast",5.9549
"115","Breast",1.3692
"116","Breast",0.9992
"117","Breast",7.185
"118","Breast",2.5878
"119","Breast",17.4449
"120","Breast",8.0377
"121","Breast",15.3659
"122","Breast",3.475
"123","Breast",6.2435
"124","Breast",7.1829
"125","Breast",2.0994
"126","Breast",14.2147
"127","Breast",5.5433
"128","Breast",3.0561
"129","Breast",5.781
"130","Breast",1.7888
"131","Breast",2.5951
"132","Breast",1.4841
"133","Breast",3.3982
"134","Breast",1.9609
"135","Breast",1.7439
"136","Breast",4.3494
"137","Breast",6.8043
"138","Breast",2.2833
"139","Breast",1.3218
"140","Breast",20.0386
"141","Breast",2.5134
"142","Breast",2.2676
"143","Breast",23.2118
"144","Breast",13.224
"145","Breast",12.0521
"146","Breast",1.7664
"147","Breast",6.1169
"148","Breast",5.1076
"149","Breast",5.1813
"150","Breast",3.5518
"151","Breast",3.764
"152","Breast",4.1022
"153","Breast",4.1106
"154","Breast",15.811
"155","Breast",2.7782
"156","Breast",1.3306
"157","Breast",3.1982
"158","Breast",9.9246
"159","Breast",0.3988
"160","Breast",1.417
"161","Breast",9.8022
"162","Breast",2.1294
"163","Breast",2.7768
"164","Breast",9.3662
"165","Breast",4.9669
"166","Breast",2.3754
"167","Breast",2.6011
"168","Breast",4.1338
"169","Breast",1.7716
"170","Breast",1.8711
"171","Breast",6.8007
"172","Breast",8.652
"173","Breast",2.2037
"174","Breast",3.0555
"175","Breast",2.4431
"176","Breast",1.9816
"177","Breast",2.694
"178","Breast",2.4959
"179","Breast",3.8231
"180","Breast",4.8989
"181","Breast",1.8355
"182","Breast",4.6329
"183","Breast",1.486
"184","Breast",8.4338
"185","Breast",1.8376
"186","Breast",1.4269
"187","Breast",5.9859
"188","Breast",16.3972
"189","Breast",2.0319
"190","Breast",4.146
"191","Breast",5.3574
"192","Breast",2.0625
"193","Breast",1.4215
"194","Breast",1.7022
"195","Breast",4.6471
"196","Breast",1.3684
"197","Breast",2.2691
"198","Breast",1.3564
"199","Breast",1.5918
"200","Breast",3.1705
"201","Colon",4.716
"202","Colon",1.7426
"203","Colon",3.0211
"204","Colon",2.428
"205","Colon",0.5999
"206","Colon",0.5371
"207","Colon",1.2121
"208","Colon",2.1887
"209","Colon",1.6166
"210","Colon",5.7397
"211","Colon",2.1953
"212","Colon",4.8559
"213","Colon",3.4083
"214","Colon",0.3051
"215","Colon",13.1841
"216","Colon",4.3722
"217","Colon",10.3905
"218","Colon",1.2211
"219","Colon",0.5084
"220","Colon",1.8051
"221","Colon",16.5825
"222","Colon",1.0916
"223","Colon",4.205
"224","Colon",2.1068
"225","Colon",1.2398
"226","Colon",3.0688
"227","Colon",5.5558
"228","Colon",1.4796
"229","Colon",1.6913
"230","Colon",3.4181
"231","Colon",0.295
"232","Colon",2.1382
"233","Colon",5.3048
"234","Colon",3.1191
"235","Colon",1.5655
"236","Colon",2.8225
"237","Colon",11.672
"238","Colon",4.9741
"239","Colon",0.5416
"240","Colon",1.4929
"241","Colon",2.4875
"242","Colon",2.3278
"243","Colon",1.8451
"244","Colon",5.402
"245","Colon",2.1819
"246","Colon",1.6261
"247","Colon",3.095
"248","Colon",0.6144
"249","Colon",0.2898
"250","Colon",9.2619
"251","Colon",2.8208
"252","Colon",0.6048
"253","Colon",0.8853
"254","Colon",18.2442
"255","Colon",0.2074
"256","Colon",1.2395
"257","Colon",2.5263
"258","Colon",5.2683
"259","Colon",0.6956
"260","Colon",2.3614
"261","Colon",2.3031
"262","Colon",2.9534
"263","Colon",2.6561
"264","Colon",1.1467
"265","Colon",1.0205
"266","Colon",1.5976
"267","Colon",3.2023
"268","Colon",5.2462
"269","Colon",0.2503
"270","Colon",3.9185
"271","Colon",4.7421
"272","Colon",1.9691
"273","Colon",1.3928
"274","Colon",1.4146
"275","Colon",1.4824
"276","Colon",1.6189
"277","Colon",6.1471
"278","Colon",0.7787
"279","Colon",1.794
"280","Colon",4.5166
"281","Colon",0.3914
"282","Colon",4.2126
"283","Colon",4.1026
"284","Colon",2.1563
"285","Colon",1.8113
"286","Colon",1.1318
"287","Colon",1.7526
"288","Colon",7.9902
"289","Colon",0.7189
"290","Colon",1.6936
"291","Colon",1.9934
"292","Colon",3.6603
"293","Colon",3.6908
"294","Colon",0.2508
"295","Colon",9.8663
"296","Colon",3.683
"297","Colon",2.488
"298","Colon",12.7306
"299","Colon",3.8287
"300","Colon",2.8847
"301","Esophagus",3.2845
"302","Esophagus",2.2116
"303","Esophagus",1.8183
"304","Esophagus",9.521
"305","Esophagus",1.2878
"306","Esophagus",3.8518
"307","Esophagus",10.5588
"308","Esophagus",1.5807
"309","Esophagus",4.6771
"310","Esophagus",2.7368
"311","Esophagus",1.117
"312","Esophagus",7.9443
"313","Esophagus",9.2344
"314","Esophagus",1.8546
"315","Esophagus",0.7099
"316","Esophagus",2.6452
"317","Esophagus",1.9238
"318","Esophagus",0.9932
"319","Esophagus",3.4946
"320","Esophagus",0.5933
"321","Esophagus",2.4363
"322","Esophagus",4.5116
"323","Esophagus",2.5498
"324","Esophagus",5.3385
"325","Esophagus",1.9999
"326","Esophagus",4.5994
"327","Esophagus",2.1222
"328","Esophagus",1.955
"329","Esophagus",0.81
"330","Esophagus",2.7235
"331","Esophagus",1.874
"332","Esophagus",1.5387
"333","Esophagus",1.1289
"334","Esophagus",1.005
"335","Esophagus",1.7042
"336","Esophagus",11.2381
"337","Esophagus",1.8198
"338","Esophagus",6.0156
"339","Esophagus",0.3477
"340","Esophagus",4.6727
"341","Esophagus",7.7924
"342","Esophagus",1.3468
"343","Esophagus",5.8021
"344","Esophagus",2.1069
"345","Esophagus",6.4584
"346","Esophagus",2.9277
"347","Esophagus",7.3228
"348","Esophagus",1.2457
"349","Esophagus",0.7716
"350","Esophagus",3.4121
"351","Esophagus",0.4859
"352","Esophagus",1.389
"353","Esophagus",6.2487
"354","Esophagus",1.1164
"355","Esophagus",4.1824
"356","Esophagus",9.7872
"357","Esophagus",2.3742
"358","Esophagus",4.12
"359","Esophagus",2.0698
"360","Esophagus",1.1229
"361","Esophagus",0.871
"362","Esophagus",7.1848
"363","Esophagus",1.6917
"364","Esophagus",4.3489
"365","Esophagus",13.1062
"366","Esophagus",4.7481
"367","Esophagus",5.1437
"368","Esophagus",3.2033
"369","Esophagus",2.1028
"370","Esophagus",0.225
"371","Esophagus",4.4353
"372","Esophagus",0.6876
"373","Esophagus",13.0941
"374","Esophagus",6.6018
"375","Esophagus",3.6431
"376","Esophagus",3.2096
"377","Esophagus",1.2605
"378","Esophagus",3.5793
"379","Esophagus",1.5588
"380","Esophagus",2.6097
"381","Esophagus",59.2214
"382","Esophagus",2.0986
"383","Esophagus",0.7008
"384","Esophagus",0.4997
"385","Esophagus",13.5668
"386","Esophagus",13.5709
"387","Esophagus",2.6091
"388","Esophagus",8.4293
"389","Esophagus",4.0971
"390","Esophagus",4.5957
"391","Esophagus",4.9128
"392","Esophagus",3.8132
"393","Esophagus",9.0322
"394","Esophagus",0.7359
"395","Esophagus",1.5685
"396","Esophagus",5.2175
"397","Esophagus",6.8607
"398","Esophagus",4.366
"399","Esophagus",6.722
"400","Esophagus",1.1504
"401","Kidney",2.0126
"402","Kidney",1.0211
"403","Kidney",18.3592
"404","Kidney",1.1122
"405","Kidney",0.3109
"406","Kidney",1.4257
"407","Kidney",1.0843
"408","Kidney",4.0438
"409","Kidney",8.2125
"410","Kidney",7.662
"411","Kidney",2.3657
"412","Kidney",0.466
"413","Kidney",0.719
"414","Kidney",3.4158
"415","Kidney",0.2643
"416","Kidney",2.3366
"417","Kidney",8.6824
"418","Kidney",7.5263
"419","Kidney",4.2753
"420","Kidney",5.3296
"421","Kidney",2.9862
"422","Kidney",3.2603
"423","Kidney",3.9651
"424","Kidney",15.1786
"425","Kidney",1.5295
"426","Kidney",1.0934
"427","Kidney",10.8841
"428","Kidney",15.2345
"429","Kidney",4.6981
"430","Kidney",4.3558
"431","Kidney",5.1545
"432","Kidney",4.0829
"433","Kidney",2.0174
"434","Kidney",2.2504
"435","Kidney",1.6572
"436","Kidney",2.4617
"437","Kidney",4.1552
"438","Kidney",0.9015
"439","Kidney",8.9187
"440","Kidney",0.3446
"441","Kidney",6.0763
"442","Kidney",3.1128
"443","Kidney",0.709
"444","Kidney",18.6364
"445","Kidney",0.8234
"446","Kidney",5.1401
"447","Kidney",5.3116
"448","Kidney",6.8148
"449","Kidney",3.3415
"450","Kidney",2.2299
"451","Kidney",1.723
"452","Kidney",4.377
"453","Kidney",0.4965
"454","Kidney",2.8122
"455","Kidney",1.9412
"456","Kidney",1.6373
"457","Kidney",0.2933
"458","Kidney",4.2797
"459","Kidney",0.4104
"460","Kidney",5.4976
"461","Kidney",4.491
"462","Kidney",2.3368
"463","Kidney",4.8155
"464","Kidney",5.8683
"465","Kidney",0.5315
"466","Kidney",0.6303
"467","Kidney",2.668
"468","Kidney",1.479
"469","Kidney",12.1236
"470","Kidney",4.3963
"471","Kidney",3.2567
"472","Kidney",0.4882
"473","Kidney",4.2946
"474","Kidney",1.6083
"475","Kidney",0.2656
"476","Kidney",2.8534
"477","Kidney",6.9548
"478","Kidney",2.503
"479","Kidney",0.5945
"480","Kidney",3.0228
"481","Kidney",5.6781
"482","Kidney",2.3815
"483","Kidney",6.3317
"484","Kidney",3.0205
"485","Kidney",4.2558
"486","Kidney",0.7642
"487","Kidney",0.4486
"488","Kidney",4.8372
"489","Kidney",12.9586
"490","Kidney",2.3304
"491","Kidney",2.0524
"492","Kidney",5.3352
"493","Kidney",3.2955
"494","Kidney",4.137
"495","Kidney",0.2805
"496","Kidney",1.9859
"497","Kidney",3.6078
"498","Kidney",2.6547
"499","Kidney",25.2947
"500","Kidney",6.6132
"501","Liver",0.4277
"502","Liver",1.0541
"503","Liver",0.4437
"504","Liver",0.5705
"505","Liver",0.8227
"506","Liver",2.0799
"507","Liver",1.0825
"508","Liver",1.7669
"509","Liver",0.2923
"510","Liver",3.8157
"511","Liver",0.8005
"512","Liver",1.3292
"513","Liver",5.7962
"514","Liver",2.4551
"515","Liver",0.3478
"516","Liver",6.4431
"517","Liver",1.6888
"518","Liver",0.5892
"519","Liver",0.687
"520","Liver",1.3896
"521","Liver",1.4268
"522","Liver",1.5089
"523","Liver",2.97
"524","Liver",1.0694
"525","Liver",1.5413
"526","Liver",2.3568
"527","Liver",1.4595
"528","Liver",0.6628
"529","Liver",2.1828
"530","Liver",0.6556
"531","Liver",1.9259
"532","Liver",2.0222
"533","Liver",0.7145
"534","Liver",5.4938
"535","Liver",7.6627
"536","Liver",3.4363
"537","Liver",1.6983
"538","Liver",1.229
"539","Liver",1.6366
"540","Liver",1.2584
"541","Liver",2.5499
"542","Liver",0.6522
"543","Liver",1.6302
"544","Liver",2.9237
"545","Liver",0.4178
"546","Liver",1.8162
"547","Liver",2.7166
"548","Liver",0.6308
"549","Liver",0.6652
"550","Liver",1.5168
"551","Liver",0.5244
"552","Liver",2.5305
"553","Liver",0.6895
"554","Liver",0.909
"555","Liver",1.575
"556","Liver",0.7523
"557","Liver",2.5198
"558","Liver",0.5596
"559","Liver",0.8559
"560","Liver",0.4881
"561","Liver",0.7592
"562","Liver",0.5459
"563","Liver",5.4853
"564","Liver",2.6846
"565","Liver",2.2587
"566","Liver",2.639
"567","Liver",10.2033
"568","Liver",12.0163
"569","Liver",0.8502
"570","Liver",0.9794
"571","Liver",1.3381
"572","Liver",2.4156
"573","Liver",0.4432
"574","Liver",2.5576
"575","Liver",11.7003
"576","Liver",0.483
"577","Liver",2.1218
"578","Liver",0.2674
"579","Liver",1.0986
"580","Liver",0.8651
"581","Liver",3.3131
"582","Liver",0.6164
"583","Liver",4.6122
"584","Liver",1.4396
"585","Liver",1.0427
"586","Liver",6.1631
"587","Liver",1.2232
"588","Liver",4.9038
"589","Liver",0.9718
"590","Liver",0.6095
"591","Liver",2.2545
"592","Liver",10.629
"593","Liver",3.3776
"594","Liver",0.4507
"595","Liver",0.8295
"596","Liver",0.8833
"597","Liver",0.908
"598","Liver",12.1497
"599","Liver",0.6562
"600","Liver",4.1596
"601","Lung",11.91
"602","Lung",9.7326
"603","Lung",2.8032
"604","Lung",7.3042
"605","Lung",6.6553
"606","Lung",8.0588
"607","Lung",5.1782
"608","Lung",10.8358
"609","Lung",13.4315
"610","Lung",13.1885
"611","Lung",6.456
"612","Lung",9.7915
"613","Lung",5.526
"614","Lung",9.4571
"615","Lung",9.4362
"616","Lung",2.0439
"617","Lung",9.0625
"618","Lung",6.4064
"619","Lung",4.4448
"620","Lung",16.3286
"621","Lung",15.9815
"622","Lung",5.4312
"623","Lung",9.3567
"624","Lung",0.6744
"625","Lung",15.9522
"626","Lung",16.0081
"627","Lung",10.3117
"628","Lung",7.6046
"629","Lung",2.9543
"630","Lung",4.3624
"631","Lung",5.8672
"632","Lung",6.47
"633","Lung",7.647
"634","Lung",6.8159
"635","Lung",4.8312
"636","Lung",6.8653
"637","Lung",2.0806
"638","Lung",3.8322
"639","Lung",2.2353
"640","Lung",11.3064
"641","Lung",35.9923
"642","Lung",0.8856
"643","Lung",7.1746
"644","Lung",7.7905
"645","Lung",1.6671
"646","Lung",4.815
"647","Lung",1.5436
"648","Lung",3.6654
"649","Lung",24.9791
"650","Lung",2.351
"651","Lung",7.253
"652","Lung",7.524
"653","Lung",10.0941
"654","Lung",4.1096
"655","Lung",4.8869
"656","Lung",14.5514
"657","Lung",2.8054
"658","Lung",9.9425
"659","Lung",7.9803
"660","Lung",12.7466
"661","Lung",2.4784
"662","Lung",3.3283
"663","Lung",10.1852
"664","Lung",7.2498
"665","Lung",11.1949
"666","Lung",10.973
"667","Lung",12.2791
"668","Lung",3.0116
"669","Lung",10.3083
"670","Lung",25.8817
"671","Lung",3.0696
"672","Lung",13.9731
"673","Lung",8.8735
"674","Lung",7.614
"675","Lung",3.8226
"676","Lung",5.5906
"677","Lung",3.4253
"678","Lung",1.3751
"679","Lung",2.7483
"680","Lung",5.1878
"681","Lung",4.2686
"682","Lung",11.7214
"683","Lung",27.0018
"684","Lung",9.8471
"685","Lung",32.6325
"686","Lung",11.7728
"687","Lung",8.2107
"688","Lung",8.9026
"689","Lung",1.9218
"690","Lung",17.9907
"691","Lung",12.4569
"692","Lung",6.6119
"693","Lung",2.0807
"694","Lung",2.2164
"695","Lung",2.1597
"696","Lung",3.8633
"697","Lung",10.5982
"698","Lung",5.0812
"699","Lung",9.6108
"700","Lung",7.5324
"701","Ovary",7.3244
"702","Ovary",21.1687
"703","Ovary",7.9107
"704","Ovary",10.3871
"705","Ovary",5.1265
"706","Ovary",8.5957
"707","Ovary",10.8231
"708","Ovary",6.8803
"709","Ovary",28.9746
"710","Ovary",4.1023
"711","Ovary",16.4365
"712","Ovary",15.6659
"713","Ovary",4.3822
"714","Ovary",6.1115
"715","Ovary",4.8973
"716","Ovary",3.7396
"717","Ovary",8.8621
"718","Ovary",11.8836
"719","Ovary",3.7112
"720","Ovary",4.7514
"721","Ovary",4.1278
"722","Ovary",4.0861
"723","Ovary",4.4715
"724","Ovary",3.6108
"725","Ovary",2.8829
